Pos,University,Conference,Sport,Season,Home_Games,Total_Attendance,Average_Attendance
254,Wisconsin,Big Ten,Womens Volleyball,2021-22,15,54000,3600
3,Alabama,SEC,Mens Basketball,2022-23,18,270000,15000
7,Alabama,SEC,Womens Basketball,2022-23,17,93500,5500
11,Alabama,SEC,Softball,2022-23,29,63800,2200
15,Alabama,SEC,Womens Volleyball,2022-23,15,25500,1700
19,Clemson,ACC,Mens Basketball,2022-23,17,178500,10500
23,Clemson,ACC,Womens Basketball,2022-23,16,76800,4800
27,Clemson,ACC,Softball,2022-23,22,44000,2000
31,Clemson,ACC,Womens Volleyball,2022-23,15,39000,2600
35,Duke,ACC,Mens Basketball,2022-23,16,160000,10000
39,Duke,ACC,Womens Basketball,2022-23,16,81600,5100
43,Duke,ACC,Softball,2022-23,22,44000,2000
47,Duke,ACC,Womens Volleyball,2022-23,15,39000,2600
51,Florida,SEC,Mens Basketball,2022-23,18,252000,14000
55,Florida,SEC,Womens Basketball,2022-23,16,88000,5500
59,Florida,SEC,Softball,2022-23,29,69600,2400
63,Florida,SEC,Womens Volleyball,2022-23,14,25900,1850
67,Georgia,SEC,Mens Basketball,2022-23,17,229500,13500
71,Georgia,SEC,Womens Basketball,2022-23,15,78750,5250
75,Georgia,SEC,Softball,2022-23,28,64400,2300
79,Georgia,SEC,Womens Volleyball,2022-23,14,24500,1750
83,Indiana,Big Ten,Mens Basketball,2022-23,16,240000,15000
87,Indiana,Big Ten,Womens Basketball,2022-23,17,98600,5800
91,Indiana,Big Ten,Softball,2022-23,23,52900,2300
95,Indiana,Big Ten,Womens Volleyball,2022-23,15,48750,3250
99,Kansas,Big 12,Mens Basketball,2022-23,16,264000,16500
103,Kansas,Big 12,Womens Basketball,2022-23,16,73600,4600
107,Kansas,Big 12,Softball,2022-23,24,57600,2400
111,Kansas,Big 12,Womens Volleyball,2022-23,15,39000,2600
115,Kentucky,SEC,Mens Basketball,2022-23,17,255000,15000
119,Kentucky,SEC,Womens Basketball,2022-23,15,85500,5700
123,Kentucky,SEC,Softball,2022-23,30,72000,2400
127,Kentucky,SEC,Womens Volleyball,2022-23,14,26600,1900
131,LSU,SEC,Mens Basketball,2022-23,16,224000,14000
135,LSU,SEC,Womens Basketball,2022-23,16,89600,5600
139,LSU,SEC,Softball,2022-23,30,72000,2400
143,LSU,SEC,Womens Volleyball,2022-23,14,25200,1800
147,Michigan,Big Ten,Mens Basketball,2022-23,16,240000,15000
151,Michigan,Big Ten,Womens Basketball,2022-23,17,96900,5700
155,Michigan,Big Ten,Softball,2022-23,24,55200,2300
159,Michigan,Big Ten,Womens Volleyball,2022-23,15,48750,3250
163,North Carolina,ACC,Mens Basketball,2022-23,17,204000,12000
167,North Carolina,ACC,Womens Basketball,2022-23,17,85000,5000
171,North Carolina,ACC,Softball,2022-23,23,46000,2000
175,North Carolina,ACC,Womens Volleyball,2022-23,14,36400,2600
179,Ohio State,Big Ten,Mens Basketball,2022-23,17,255000,15000
183,Ohio State,Big Ten,Womens Basketball,2022-23,15,87000,5800
187,Ohio State,Big Ten,Softball,2022-23,23,52900,2300
191,Ohio State,Big Ten,Womens Volleyball,2022-23,14,46200,3300
195,Oklahoma,Big 12,Mens Basketball,2022-23,17,229500,13500
199,Oklahoma,Big 12,Womens Basketball,2022-23,16,76800,4800
203,Oklahoma,Big 12,Softball,2022-23,26,67600,2600
207,Oklahoma,Big 12,Womens Volleyball,2022-23,15,39000,2600
211,Penn State,Big Ten,Mens Basketball,2022-23,17,246500,14500
215,Penn State,Big Ten,Womens Basketball,2022-23,16,92800,5800
219,Penn State,Big Ten,Softball,2022-23,22,50600,2300
223,Penn State,Big Ten,Womens Volleyball,2022-23,14,49000,3500
227,Texas,Big 12,Mens Basketball,2022-23,17,246500,14500
231,Texas,Big 12,Womens Basketball,2022-23,17,83300,4900
235,Texas,Big 12,Softball,2022-23,27,67500,2500
239,Texas,Big 12,Womens Volleyball,2022-23,14,40600,2900
243,Wisconsin,Big Ten,Mens Basketball,2022-23,17,255000,15000
247,Wisconsin,Big Ten,Womens Basketball,2022-23,16,92800,5800
251,Wisconsin,Big Ten,Softball,2022-23,22,50600,2300
255,Wisconsin,Big Ten,Womens Volleyball,2022-23,14,52500,3750
4,Alabama,SEC,Mens Basketball,2023-24,17,258400,15200
8,Alabama,SEC,Womens Basketball,2023-24,16,91200,5700
12,Alabama,SEC,Softball,2023-24,30,69000,2300
16,Alabama,SEC,Womens Volleyball,2023-24,14,24500,1750
20,Clemson,ACC,Mens Basketball,2023-24,16,176000,11000
24,Clemson,ACC,Womens Basketball,2023-24,15,75000,5000
28,Clemson,ACC,Softball,2023-24,23,48300,2100
32,Clemson,ACC,Womens Volleyball,2023-24,14,37800,2700
36,Duke,ACC,Mens Basketball,2023-24,18,189000,10500
40,Duke,ACC,Womens Basketball,2023-24,15,78750,5250
44,Duke,ACC,Softball,2023-24,23,48300,2100
48,Duke,ACC,Womens Volleyball,2023-24,14,37800,2700
52,Florida,SEC,Mens Basketball,2023-24,17,246500,14500
56,Florida,SEC,Womens Basketball,2023-24,15,85500,5700
60,Florida,SEC,Softball,2023-24,30,75000,2500
64,Florida,SEC,Womens Volleyball,2023-24,15,28500,1900
68,Georgia,SEC,Mens Basketball,2023-24,16,224000,14000
72,Georgia,SEC,Womens Basketball,2023-24,17,93500,5500
76,Georgia,SEC,Softball,2023-24,30,72000,2400
80,Georgia,SEC,Womens Volleyball,2023-24,15,27000,1800
84,Indiana,Big Ten,Mens Basketball,2023-24,18,279000,15500
88,Indiana,Big Ten,Womens Basketball,2023-24,16,96000,6000
92,Indiana,Big Ten,Softball,2023-24,24,57600,2400
96,Indiana,Big Ten,Womens Volleyball,2023-24,14,47600,3400
100,Kansas,Big 12,Mens Basketball,2023-24,18,306000,17000
104,Kansas,Big 12,Womens Basketball,2023-24,15,72000,4800
108,Kansas,Big 12,Softball,2023-24,25,62500,2500
112,Kansas,Big 12,Womens Volleyball,2023-24,14,37800,2700
116,Kentucky,SEC,Mens Basketball,2023-24,16,248000,15500
120,Kentucky,SEC,Womens Basketball,2023-24,16,94400,5900
124,Kentucky,SEC,Softball,2023-24,29,72500,2500
128,Kentucky,SEC,Womens Volleyball,2023-24,15,30000,2000
132,LSU,SEC,Mens Basketball,2023-24,18,261000,14500
136,LSU,SEC,Womens Basketball,2023-24,17,97750,5750
140,LSU,SEC,Softball,2023-24,28,70000,2500
144,LSU,SEC,Womens Volleyball,2023-24,15,28500,1900
148,Michigan,Big Ten,Mens Basketball,2023-24,18,279000,15500
152,Michigan,Big Ten,Womens Basketball,2023-24,15,88500,5900
156,Michigan,Big Ten,Softball,2023-24,25,60000,2400
160,Michigan,Big Ten,Womens Volleyball,2023-24,14,47600,3400
164,North Carolina,ACC,Mens Basketball,2023-24,16,200000,12500
168,North Carolina,ACC,Womens Basketball,2023-24,16,83200,5200
172,North Carolina,ACC,Softball,2023-24,24,50400,2100
176,North Carolina,ACC,Womens Volleyball,2023-24,15,40500,2700
180,Ohio State,Big Ten,Mens Basketball,2023-24,16,248000,15500
184,Ohio State,Big Ten,Womens Basketball,2023-24,17,102000,6000
188,Ohio State,Big Ten,Softball,2023-24,24,57600,2400
192,Ohio State,Big Ten,Womens Volleyball,2023-24,15,51000,3400
196,Oklahoma,SEC,Mens Basketball,2023-24,16,224000,14000
200,Oklahoma,SEC,Womens Basketball,2023-24,15,78750,5250
204,Oklahoma,SEC,Softball,2023-24,27,72900,2700
208,Oklahoma,SEC,Womens Volleyball,2023-24,14,37800,2700
212,Penn State,Big Ten,Mens Basketball,2023-24,15,225000,15000
216,Penn State,Big Ten,Womens Basketball,2023-24,15,90000,6000
220,Penn State,Big Ten,Softball,2023-24,23,55200,2400
224,Penn State,Big Ten,Womens Volleyball,2023-24,15,54000,3600
228,Texas,SEC,Mens Basketball,2023-24,16,240000,15000
232,Texas,SEC,Womens Basketball,2023-24,16,83200,5200
236,Texas,SEC,Softball,2023-24,28,70000,2500
240,Texas,SEC,Womens Volleyball,2023-24,15,45000,3000
244,Wisconsin,Big Ten,Mens Basketball,2023-24,16,248000,15500
248,Wisconsin,Big Ten,Womens Basketball,2023-24,15,90000,6000
252,Wisconsin,Big Ten,Softball,2023-24,23,55200,2400
256,Wisconsin,Big Ten,Womens Volleyball,2023-24,15,57000,3800
